app,bundle_id,app_bundle,app_bundle_kb,cache_like,cache_like_kb,support_container,support_container_kb,total_related_kb,path,matched_library_paths
Alfred,com.runningwithcrayons.Alfred,17.5 MiB,17932,0 B,0,392.0 KiB,392,392,/Applications/Alfred 5.app,/Users/yaniv/Library/Application Support/Alfred; /Users/yaniv/Library/Application Support/Alfred/Alfred.alfredpreferences; /Users/yaniv/Library/Application Support/Alfred/Assistant; /Users/yaniv/Library/Application Support/Alfred/Databases; /Users/yaniv/Library/Application Support/Alfred/Gallery; +6 more
Warp,dev.warp.Warp-Stable,404.0 MiB,413676,4.0 KiB,4,176.0 KiB,176,180,/Applications/Warp.app,/Users/yaniv/Library/Application Support/dev.warp.Warp-Stable; /Users/yaniv/Library/Application Support/dev.warp.Warp-Stable/autoupdate; /Users/yaniv/Library/Caches/SentryCrash/Warp; /Users/yaniv/Library/Caches/dev.warp.Warp-Stable; /Users/yaniv/Library/Caches/dev.warp.Warp-Stable/io.sentry
Claude,com.anthropic.claudefordesktop,564.4 MiB,577968,68.0 KiB,68,0 B,0,68,/Applications/Claude.app,/Users/yaniv/Library/Caches/claude-cli-nodejs; /Users/yaniv/Library/Caches/claude-cli-nodejs/-Users-yaniv-dev-bigdata-python-examples; /Users/yaniv/Library/Caches/claude-cli-nodejs/-Users-yaniv-dev-py106
Claude Code URL Handler,com.anthropic.claude-code-url-handler,4.0 KiB,4,68.0 KiB,68,0 B,0,68,/Users/yaniv/Applications/Claude Code URL Handler.app,/Users/yaniv/Library/Caches/claude-cli-nodejs; /Users/yaniv/Library/Caches/claude-cli-nodejs/-Users-yaniv-dev-bigdata-python-examples; /Users/yaniv/Library/Caches/claude-cli-nodejs/-Users-yaniv-dev-py106
Falcon,com.crowdstrike.falcon.App,81.3 MiB,83204,0 B,0,36.0 KiB,36,36,/Applications/Falcon.app,/Users/yaniv/Library/Containers/com.crowdstrike.CsFalconConnector; /Users/yaniv/Library/Group Containers/X9E956P446.com.crowdstrike.falcon
DisplayLink Manager,com.displaylink.DisplayLinkUserAgent,16.8 MiB,17184,0 B,0,32.0 KiB,32,32,/Applications/DisplayLink Manager.app,/Users/yaniv/Library/Containers/com.displaylink.DisplayLinkUserAgent; /Users/yaniv/Library/Containers/com.displaylink.DisplayLinkUserAgent/Data/Library/Application Support; /Users/yaniv/Library/Containers/com.displaylink.DisplayLinkUserAgent/Data/Library/Caches
Microsoft PowerPoint,com.microsoft.Powerpoint,2.2 GiB,2259152,0 B,0,8.0 KiB,8,8,/Applications/Microsoft PowerPoint.app,/Users/yaniv/Library/Containers/com.microsoft.Powerpoint; /Users/yaniv/Library/Containers/com.microsoft.Powerpoint/Data/Library/Application Support; /Users/yaniv/Library/Containers/com.microsoft.Powerpoint/Data/Library/Caches; /Users/yaniv/Library/Containers/com.microsoft.Powerpoint.widgetextension
Oracle Site Blocker,com.oraclecorp.int.OracleSiteBlocker,5.0 MiB,5152,0 B,0,4.0 KiB,4,4,/Applications/Oracle Site Blocker.app,/Users/yaniv/Library/Containers/com.oraclecorp.int.OracleSiteBlocker.Extension
Microsoft OneNote,com.microsoft.onenote.mac,1.3 GiB,1367200,0 B,0,4.0 KiB,4,4,/Applications/Microsoft OneNote.app,/Users/yaniv/Library/Containers/com.microsoft.onenote.mac.shareextension
Printers,com.oracle.ee.Printers,152.0 KiB,152,0 B,0,4.0 KiB,4,4,/Applications/Oracle Tools/Printers.app,/Users/yaniv/Library/Containers/com.apple.settings-intents.PrinterScannerIntents
CRAX Commander,pl.ewas.Crax,178.5 MiB,182764,0 B,0,0 B,0,0,/Applications/CRAX Commander.app,
Gemini 2,com.macpaw.site.Gemini2,91.2 MiB,93344,0 B,0,0 B,0,0,/Applications/Gemini 2.app,
Santa,com.google.santa,39.4 MiB,40324,0 B,0,0 B,0,0,/Applications/Santa.app,
Ollama,com.electron.ollama,114.1 MiB,116812,0 B,0,0 B,0,0,/Applications/Ollama.app,/Users/yaniv/Library/Logs/Homebrew/ollama
Cisco Secure Client - Socket Filter,com.cisco.anyconnect.macos.acsock,3.4 MiB,3460,0 B,0,0 B,0,0,/Applications/Cisco/Cisco Secure Client - Socket Filter.app,
Cisco Secure Client,com.cisco.secureclient.gui,15.4 MiB,15788,0 B,0,0 B,0,0,/Applications/Cisco/Cisco Secure Client.app,
Uninstall Cisco Secure Client - DART,com.cisco.secureclient.dartuninstaller,408.0 KiB,408,0 B,0,0 B,0,0,/Applications/Cisco/Uninstall Cisco Secure Client - DART.app,
Cisco Secure Client - DART,com.cisco.secureclient.dart,6.9 MiB,7064,0 B,0,0 B,0,0,/Applications/Cisco/Cisco Secure Client - DART.app,
Uninstall Cisco Secure Client,com.cisco.secureclient.uninstaller,408.0 KiB,408,0 B,0,0 B,0,0,/Applications/Cisco/Uninstall Cisco Secure Client.app,
MyHelp,com.oracle.ee.MyHelp,140.0 KiB,140,0 B,0,0 B,0,0,/Applications/Oracle Tools/MyHelp.app,
My Login Profile (Stage),com.oracle.ee.My Login Profile (Stage),144.0 KiB,144,0 B,0,0 B,0,0,/Applications/Oracle Tools/My Login Profile (Stage).app,
My Login Profile (Production),com.oracle.ee.My Login Profile (Production),144.0 KiB,144,0 B,0,0 B,0,0,/Applications/Oracle Tools/My Login Profile (Production).app,
Endpoint Management Platform (EMP),com.oracle.ee.Endpoint Management Platform (EMP),160.0 KiB,160,0 B,0,0 B,0,0,/Applications/Oracle Tools/Endpoint Management Platform (EMP).app,
MyDesktop,com.oracle.ee.MyDesktop,164.0 KiB,164,0 B,0,0 B,0,0,/Applications/Oracle Tools/MyDesktop.app,
Postman,com.google.Chrome.app.Default-fhbjgbiflinjbdggehcddcbncdddomop,1.8 MiB,1888,0 B,0,0 B,0,0,/Users/yaniv/Applications/Chrome Apps.localized/Postman.app,
Outlook (PWA),com.microsoft.edgemac.app.faolnafnngnfdaknnbpnkhgohbobgegn,2.5 MiB,2580,0 B,0,0 B,0,0,/Users/yaniv/Applications/Edge Apps.localized/Outlook (PWA).app,
Postman,ai.perplexity.comet.app.Default-fhbjgbiflinjbdggehcddcbncdddomop,1.8 MiB,1888,0 B,0,0 B,0,0,/Users/yaniv/Applications/Comet Apps.localized/Postman.app,
