kind,size,size_kb,root,depth,path,nested_under,rollup_parent
support/container,6.9 MiB,7096,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Adobe/Acrobat,/Users/yaniv/Library/Application Support/Adobe,false
cache-like,6.8 MiB,6924,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Comet/GraphiteDawnCache,/Users/yaniv/Library/Application Support/Comet,false
support/container,6.8 MiB,6916,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.AppleMediaServicesUI.UtilityExtension,,false
cache-like,6.7 MiB,6812,/Users/yaniv/Library/Caches,2,/Users/yaniv/Library/Caches/com.microsoft.SharePoint-mac/fsCachedData,/Users/yaniv/Library/Caches/com.microsoft.SharePoint-mac,false
support/container,6.6 MiB,6740,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.mediastream.mstreamd,,false
cache-like,6.6 MiB,6736,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Comet/Crashpad,/Users/yaniv/Library/Application Support/Comet,false
cache-like,6.5 MiB,6612,/Users/yaniv/Library/Caches,1,/Users/yaniv/Library/Caches/com.openai.chat,,false
cache-like,6.4 MiB,6568,/Users/yaniv/Library/Caches,1,/Users/yaniv/Library/Caches/com.apple.amsengagementd,,false
cache-like,6.2 MiB,6372,/Users/yaniv/Library/Caches,1,/Users/yaniv/Library/Caches/com.apple.ctcategories.service,,false
support/container,6.1 MiB,6280,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.Preview,,false
support/container,6.1 MiB,6200,/Users/yaniv/Library/Group Containers,1,/Users/yaniv/Library/Group Containers/group.com.apple.icloudMCCKit,,false
cache-like,6.0 MiB,6144,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/com.operasoftware.Opera/GraphiteDawnCache,/Users/yaniv/Library/Application Support/com.operasoftware.Opera,false
cache-like,5.9 MiB,6012,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Codex/Cache,/Users/yaniv/Library/Application Support/Codex,false
support/container,5.8 MiB,5960,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.AMPArtworkAgent,,false
cache-like,5.6 MiB,5704,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Cursor/GPUCache,/Users/yaniv/Library/Application Support/Cursor,false
