app,bundle_id,kind,size,size_kb,reason,path,also_matched_by
Google Chrome,com.google.Chrome,cache-like-inside-support,16.0 KiB,16,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1465/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,16.0 KiB,16,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1430/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,16.0 KiB,16,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1319/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,16.0 KiB,16,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/585/CacheStorage,
Dropbox,com.getdropbox.dropbox,cache-like-inside-support,16.0 KiB,16,cache-like descendant,/Users/yaniv/Library/Application Support/Dropbox/Code Cache,
Dropbox,com.getdropbox.dropbox,cache-like-inside-support,16.0 KiB,16,cache-like descendant,/Users/yaniv/Library/Application Support/Dropbox/Partitions/sprigview/Code Cache,
Dropbox,com.getdropbox.dropbox,cache-like-inside-support,16.0 KiB,16,cache-like descendant,/Users/yaniv/Library/Application Support/Dropbox/Partitions/preferencesview/Code Cache,
Dropbox,com.getdropbox.dropbox,cache-like-inside-support,16.0 KiB,16,cache-like descendant,/Users/yaniv/Library/Application Support/Dropbox/Partitions/sprigview/Cache,
Dropbox,com.getdropbox.dropbox,cache-like-inside-support,16.0 KiB,16,cache-like descendant,/Users/yaniv/Library/Application Support/Dropbox/Partitions/electrondialog/Code Cache,
Dropbox,com.getdropbox.dropbox,cache-like-inside-support,16.0 KiB,16,cache-like descendant,/Users/yaniv/Library/Application Support/Dropbox/Partitions/syncdashboardview/Code Cache,
Dropbox,com.getdropbox.dropbox,cache-like-inside-support,16.0 KiB,16,cache-like descendant,/Users/yaniv/Library/Application Support/Dropbox/Partitions/trayview/Code Cache,
Code - Insiders,com.microsoft.VSCodeInsiders,cache-like-inside-support,16.0 KiB,16,cache-like descendant,/Users/yaniv/Library/Application Support/Code - Insiders/Code Cache,
Cursor,com.todesktop.230313mzl4w4u92,cache-like-inside-support,16.0 KiB,16,cache-like descendant,/Users/yaniv/Library/Application Support/Cursor/Code Cache,
Arc,company.thebrowser.Browser,cache-like-inside-support,16.0 KiB,16,cache-like descendant,/Users/yaniv/Library/Application Support/Arc/User Data/Default/WebStorage/124/CacheStorage,
GitHub Desktop,com.github.GitHubClient,cache-like-inside-support,16.0 KiB,16,cache-like descendant,/Users/yaniv/Library/Application Support/GitHub Desktop/Code Cache,
GitHub Desktop,com.github.GitHubClient,cache-like,16.0 KiB,16,bundle-id updater cache,/Users/yaniv/Library/Caches/com.github.GitHubClient.ShipIt,
Azure Data Studio,com.azuredatastudio.oss,cache-like-inside-support,16.0 KiB,16,cache-like descendant,/Users/yaniv/Library/Application Support/azuredatastudio/Code Cache,
Codex,com.openai.codex,cache-like-inside-support,16.0 KiB,16,cache-like descendant,/Users/yaniv/Library/Application Support/Codex/Code Cache,
Microsoft Azure Storage Explorer,com.microsoft.StorageExplorer,cache-like-inside-support,16.0 KiB,16,cache-like descendant,/Users/yaniv/Library/Application Support/StorageExplorer/Code Cache,
OBS Studio,com.obsproject.obs-studio,cache-like-inside-support,16.0 KiB,16,cache-like descendant,/Users/yaniv/Library/Application Support/OBS-Studio/plugin_config/obs-browser/Code Cache,
OBS Studio,com.obsproject.obs-studio,cache-like-inside-support,16.0 KiB,16,cache-like descendant,/Users/yaniv/Library/Application Support/obs-studio/plugin_config/obs-browser/Code Cache,
draw.io,com.jgraph.drawio.desktop,cache-like-inside-support,16.0 KiB,16,cache-like descendant,/Users/yaniv/Library/Application Support/draw.io/Code Cache,
draw.io,com.jgraph.drawio.desktop,cache-like,16.0 KiB,16,bundle-id saved state,/Users/yaniv/Library/Saved Application State/com.jgraph.drawio.desktop.savedState,
Microsoft Teams classic,com.microsoft.teams,cache-like-inside-support,12.0 KiB,12,cache-like descendant,/Users/yaniv/Library/Application Support/Microsoft/Teams/Crashpad,
CapCut,com.lemon.lvoverseas,cache-like-inside-support,12.0 KiB,12,cache-like descendant,/Users/yaniv/Library/Containers/com.lemon.lvoverseas/Data/Library/Caches,
Google Chrome,com.google.Chrome,cache-like-inside-support,12.0 KiB,12,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/706/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,12.0 KiB,12,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/918/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,12.0 KiB,12,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1443/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,12.0 KiB,12,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1431/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,12.0 KiB,12,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1373/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,12.0 KiB,12,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1339/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,12.0 KiB,12,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1135/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,12.0 KiB,12,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1475/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,12.0 KiB,12,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1469/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,12.0 KiB,12,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1308/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,12.0 KiB,12,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1421/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,12.0 KiB,12,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Profile 1/WebStorage/191/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,12.0 KiB,12,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1180/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,12.0 KiB,12,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Profile 1/WebStorage/331/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,12.0 KiB,12,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1446/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,12.0 KiB,12,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1444/CacheStorage,
Google Chrome Canary,com.google.Chrome.canary,cache-like-inside-support,12.0 KiB,12,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome Canary/Profile 1/WebStorage/24/CacheStorage,
pgAdmin 4,org.pgadmin.pgadmin4,cache-like,12.0 KiB,12,bundle-id saved state,/Users/yaniv/Library/Saved Application State/org.pgadmin.pgadmin4.savedState,
Opera,com.operasoftware.Opera,cache-like-inside-support,12.0 KiB,12,cache-like descendant,/Users/yaniv/Library/Application Support/com.operasoftware.Opera/Default/WebStorage/38/CacheStorage,
Code,com.microsoft.VSCode,cache-like-inside-support,8.0 KiB,8,cache-like descendant,/Users/yaniv/Library/Application Support/Code/Shared Dictionary/cache,
Code,com.microsoft.VSCode,cache-like-inside-support,8.0 KiB,8,cache-like descendant,/Users/yaniv/Library/Application Support/Code/User/globalStorage/vscode-redhat-telemetry/cache,
Dia,company.thebrowser.dia,cache-like-inside-support,8.0 KiB,8,cache-like descendant,/Users/yaniv/Library/Application Support/Dia/User Data/Profile 3/Shared Dictionary/cache,
Dia,company.thebrowser.dia,cache-like-inside-support,8.0 KiB,8,cache-like descendant,/Users/yaniv/Library/Application Support/Dia/User Data/Profile 1/Shared Dictionary/cache,
Dia,company.thebrowser.dia,cache-like-inside-support,8.0 KiB,8,cache-like descendant,/Users/yaniv/Library/Application Support/Dia/User Data/Profile 2/Shared Dictionary/cache,
Dia,company.thebrowser.dia,cache-like-inside-support,8.0 KiB,8,cache-like descendant,/Users/yaniv/Library/Application Support/Dia/User Data/Default/Shared Dictionary/cache,
LM Studio,ai.elementlabs.lmstudio,cache-like-inside-support,8.0 KiB,8,cache-like descendant,/Users/yaniv/Library/Application Support/LM Studio/Cache,
LM Studio,ai.elementlabs.lmstudio,cache-like-inside-support,8.0 KiB,8,cache-like descendant,/Users/yaniv/Library/Application Support/LM Studio/Shared Dictionary/cache,
Claude,com.anthropic.claudefordesktop,cache-like-inside-support,8.0 KiB,8,cache-like descendant,/Users/yaniv/Library/Application Support/Claude/Shared Dictionary/cache,
Google Chrome,com.google.Chrome,cache-like-inside-support,8.0 KiB,8,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Guest Profile/Shared Dictionary/cache,
Google Chrome,com.google.Chrome,cache-like-inside-support,8.0 KiB,8,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Profile 2/Shared Dictionary/cache,
Google Chrome,com.google.Chrome,cache-like-inside-support,8.0 KiB,8,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/System Profile/Shared Dictionary/cache,
Dropbox,com.getdropbox.dropbox,cache-like-inside-support,8.0 KiB,8,cache-like descendant,/Users/yaniv/Library/Application Support/Dropbox/Cache,
Dropbox,com.getdropbox.dropbox,cache-like-inside-support,8.0 KiB,8,cache-like descendant,/Users/yaniv/Library/Application Support/Dropbox/DropboxMacUpdate/logs,
Dropbox,com.getdropbox.dropbox,cache-like-inside-support,8.0 KiB,8,cache-like descendant,/Users/yaniv/Library/Application Support/Dropbox/Shared Dictionary/cache,
Dropbox,com.getdropbox.dropbox,cache-like-inside-support,8.0 KiB,8,cache-like descendant,/Users/yaniv/Library/Application Support/Dropbox/Partitions/dbid%3Aaab1m18shwr_-aqmejz_x4z9ikekmyzumqs/Shared Dictionary/cache,
Dropbox,com.getdropbox.dropbox,cache-like-inside-support,8.0 KiB,8,cache-like descendant,/Users/yaniv/Library/Application Support/Dropbox/Partitions/sprigview/Shared Dictionary/cache,
Dropbox,com.getdropbox.dropbox,cache-like-inside-support,8.0 KiB,8,cache-like descendant,/Users/yaniv/Library/Application Support/Dropbox/Partitions/trayview/Shared Dictionary/cache,
Dropbox,com.getdropbox.dropbox,cache-like-inside-support,8.0 KiB,8,cache-like descendant,/Users/yaniv/Library/Application Support/Dropbox/Partitions/syncdashboardview/Shared Dictionary/cache,
Code - Insiders,com.microsoft.VSCodeInsiders,cache-like-inside-support,8.0 KiB,8,cache-like descendant,/Users/yaniv/Library/Application Support/Code - Insiders/CachedConfigurations,
Code - Insiders,com.microsoft.VSCodeInsiders,cache-like-inside-support,8.0 KiB,8,cache-like descendant,/Users/yaniv/Library/Application Support/Code - Insiders/Shared Dictionary/cache,
Cursor,com.todesktop.230313mzl4w4u92,cache-like-inside-support,8.0 KiB,8,cache-like descendant,/Users/yaniv/Library/Application Support/Cursor/Shared Dictionary/cache,
Google Chrome Canary,com.google.Chrome.canary,cache-like-inside-support,8.0 KiB,8,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome Canary/System Profile/Shared Dictionary/cache,
Arc,company.thebrowser.Browser,cache-like-inside-support,8.0 KiB,8,cache-like descendant,/Users/yaniv/Library/Application Support/Arc/User Data/Default/Shared Dictionary/cache,
Codex,com.openai.codex,cache-like-inside-support,8.0 KiB,8,cache-like descendant,/Users/yaniv/Library/Application Support/Codex/Shared Dictionary/cache,
Brave Browser,com.brave.Browser,cache-like-inside-support,8.0 KiB,8,cache-like descendant,/Users/yaniv/Library/Application Support/BraveSoftware/Brave-Browser/Default/Shared Dictionary/cache,
Microsoft Edge,com.microsoft.edgemac,cache-like-inside-support,8.0 KiB,8,cache-like descendant,/Users/yaniv/Library/Application Support/Microsoft Edge/Crashpad,
Microsoft Edge,com.microsoft.edgemac,cache-like-inside-support,8.0 KiB,8,cache-like descendant,/Users/yaniv/Library/Application Support/Microsoft Edge/Default/Shared Dictionary/cache,
Microsoft Edge,com.microsoft.edgemac,cache-like-inside-support,8.0 KiB,8,cache-like descendant,/Users/yaniv/Library/Application Support/Microsoft/EdgeUpdater/147.0.3893.0/Crashpad,
Ghostty,com.mitchellh.ghostty,cache-like,8.0 KiB,8,bundle-id cache,/Users/yaniv/Library/Caches/com.mitchellh.ghostty,
Microsoft Azure Storage Explorer,com.microsoft.StorageExplorer,cache-like-inside-support,8.0 KiB,8,cache-like descendant,/Users/yaniv/Library/Application Support/StorageExplorer/Shared Dictionary/cache,
ChatGPT Atlas,com.openai.atlas,cache-like-inside-support,8.0 KiB,8,cache-like descendant,/Users/yaniv/Library/Application Support/com.openai.atlas/browser-data/host/Default/Shared Dictionary/cache,
draw.io,com.jgraph.drawio.desktop,cache-like,8.0 KiB,8,safe fuzzy exact/segment match,/Users/yaniv/Library/Logs/draw.io,
draw.io,com.jgraph.drawio.desktop,cache-like,8.0 KiB,8,bundle-id updater cache,/Users/yaniv/Library/Caches/com.jgraph.drawio.desktop.ShipIt,
Acrobat,com.adobe.Acrobat.Pro,cache-like-inside-support,8.0 KiB,8,cache-like descendant,/Users/yaniv/Library/Application Support/Adobe/Acrobat/DC/JSCache,
LastPass,com.lastpass.lastpassmacdesktop,support/container,4.0 KiB,4,bundle-id support,/Users/yaniv/Library/Application Support/com.lastpass.lastpassmacdesktop,
VLC,org.videolan.vlc,support/container,4.0 KiB,4,bundle-id support,/Users/yaniv/Library/Application Support/org.videolan.vlc,
Sonos,com.sonos.macController2,cache-like,4.0 KiB,4,safe fuzzy exact/segment match,/Users/yaniv/Library/Caches/SentryCrash/Sonos,
Dia,company.thebrowser.dia,cache-like,4.0 KiB,4,safe fuzzy exact/segment match,/Users/yaniv/Library/Caches/SentryCrash/Dia,
LM Studio,ai.elementlabs.lmstudio,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/LM Studio/Crashpad,
Claude,com.anthropic.claudefordesktop,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Claude/Crashpad,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1284/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Profile 1/WebStorage/320/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/846/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Profile 1/WebStorage/277/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1167/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/644/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1305/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Profile 1/WebStorage/194/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1268/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1360/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/647/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1255/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1154/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1196/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1388/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1184/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/727/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1244/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/937/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1286/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1361/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1365/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1396/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/783/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Profile 1/WebStorage/314/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/680/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Profile 1/WebStorage/306/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1171/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1239/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1277/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1398/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1340/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1176/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1206/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Profile 1/WebStorage/305/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1302/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1372/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1248/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1014/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/582/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Profile 1/WebStorage/244/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/710/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1296/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/703/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1083/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1303/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1197/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1298/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1172/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1212/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1270/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1279/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1208/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1329/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Profile 1/WebStorage/195/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1254/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1175/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1193/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1046/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1348/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1418/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1013/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1334/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1220/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1190/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1419/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1231/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1111/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1367/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1082/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Profile 1/WebStorage/218/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/964/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1282/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,4.0 KiB,4,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1266/CacheStorage,
